attrition,training_spend,education_level,job_title,gender_male,performance_rating,boss_rating_avg,salary,overtime_per_week,traveldays_per_year,lastpromotion_months
FALSE,1942,MSc or MBA,Business analyst,TRUE,2,3.1,3846,0,19,17
FALSE,2032,BSc,Junior developer,TRUE,4,3.1,4223,2,20,10
TRUE,2115,MSc or MBA,Junior developer,FALSE,1,2.6,3730,10,16,23
FALSE,2028,MSc or MBA,Junior designer,FALSE,3,3.3,3964,5,27,16
FALSE,1946,MSc or MBA,Associate,FALSE,3,3.2,5103,2,24,15
TRUE,1743,BSc,Developer,TRUE,3,2.7,5686,0,28,32
FALSE,2313,BSc,Senior developer,TRUE,4,1.5,7253,5,22,20
FALSE,2220,MSc or MBA,Junior developer,TRUE,3,1.5,4050,2,13,19
FALSE,2205,BSc,Business analyst,TRUE,3,3.7,4050,3,14,34
FALSE,1985,DSc or PhD,Associate,TRUE,4,2.9,5334,7,27,21
TRUE,1924,MSc or MBA,Designer,TRUE,2,1.5,4484,6,18,16
FALSE,2195,MSc or MBA,Developer,FALSE,3,2.7,5652,2,37,18
FALSE,1993,BSc,Junior developer,FALSE,3,4.7,3936,8,14,26
FALSE,2342,MSc or MBA,Principal consultant,FALSE,4,2.9,10178,1,27,10
FALSE,2054,BSc,Business analyst,FALSE,3,4.4,4052,7,18,10
FALSE,1929,MSc or MBA,Associate,TRUE,3,2.9,5261,5,18,9
FALSE,1695,MSc or MBA,Associate,FALSE,3,2.9,5184,3,23,26
FALSE,1965,BSc,Junior designer,TRUE,3,2.6,4040,2,20,14
FALSE,2083,MSc or MBA,Designer,TRUE,4,3.7,4814,7,19,11
FALSE,2287,MSc or MBA,Junior designer,TRUE,3,3.6,4010,0,17,18
FALSE,2137,MSc or MBA,Junior developer,FALSE,4,1.4,4170,2,5,29
FALSE,1843,MSc or MBA,Associate,TRUE,1,3.4,4717,2,21,3
TRUE,1743,MSc or MBA,Junior designer,FALSE,2,1.3,3892,3,21,14
FALSE,2230,MSc or MBA,Junior developer,TRUE,4,3,4232,2,0,12
TRUE,1596,BSc,Junior designer,TRUE,4,2.4,4202,8,28,3
FALSE,2075,BSc,Business analyst,FALSE,4,4.5,4218,4,23,22
FALSE,1840,BSc,Business analyst,FALSE,3,2,4021,4,9,9
TRUE,1744,BSc,Associate,TRUE,2,3.2,4911,0,13,26
TRUE,1877,BSc,Junior designer,TRUE,2,3,3895,5,13,38
FALSE,1837,BSc,Business analyst,TRUE,3,4.5,4059,6,8,21
FALSE,1487,MSc or MBA,Associate,FALSE,3,3.2,5141,6,3,15
TRUE,2477,BSc,Business analyst,FALSE,4,3.9,4208,11,23,37
TRUE,1635,BSc,Designer,FALSE,2,3.9,4465,6,40,1
FALSE,2083,BSc,Senior designer,TRUE,3,3.6,6943,3,20,20
FALSE,1748,MSc or MBA,Associate,TRUE,1,2.3,4785,5,11,17
FALSE,2810,BSc,Junior developer,FALSE,3,4.2,4024,3,27,22
FALSE,1896,MSc or MBA,Business analyst,TRUE,3,3.9,4048,8,14,2
FALSE,2075,BSc,Junior developer,TRUE,5,2.5,4364,9,22,5
TRUE,2009,MSc or MBA,Junior designer,TRUE,4,2.6,4272,8,24,15
FALSE,2078,BSc,Senior designer,TRUE,2,1.3,6589,4,23,22
TRUE,1734,MSc or MBA,Developer,FALSE,3,1.9,5805,1,11,22
FALSE,1941,BSc,Business analyst,TRUE,2,2.6,3928,1,29,17
FALSE,1875,BSc,Junior designer,FALSE,3,3.4,3974,5,14,9
FALSE,2024,BSc,Junior designer,FALSE,4,4.5,4211,10,14,7
FALSE,1776,BSc,Junior developer,TRUE,3,3.1,4028,3,16,21
FALSE,2328,BSc,Designer,TRUE,2,3.7,4303,6,26,20
FALSE,1934,DSc or PhD,Developer,TRUE,1,3.1,5307,3,27,8
FALSE,1896,MSc or MBA,Designer,TRUE,3,1.2,4519,7,23,31
TRUE,1881,BSc,Developer,FALSE,3,4.4,5788,6,19,16
FALSE,1851,BSc,Junior developer,TRUE,4,2.7,4201,5,12,36
FALSE,1679,BSc,Senior designer,TRUE,3,3.4,6889,6,16,2
FALSE,1821,BSc,Business analyst,FALSE,3,3.2,4015,2,32,18
FALSE,1746,BSc,Associate,FALSE,2,4.3,5044,6,12,4
FALSE,2489,MSc or MBA,Senior developer,TRUE,3,2,6804,2,27,31
FALSE,1671,BSc,Junior designer,TRUE,3,3,4007,8,4,12
FALSE,2081,BSc,Junior developer,TRUE,4,2.5,4132,5,8,4
FALSE,1716,BSc,Business analyst,FALSE,3,3.4,4103,9,32,20
FALSE,1860,BSc,Junior designer,FALSE,4,2.9,4175,1,12,18
FALSE,1972,BSc,Associate,TRUE,3,3.3,5096,1,24,39
FALSE,2012,MSc or MBA,Senior developer,TRUE,3,4.7,6852,7,33,4
FALSE,2211,MSc or MBA,Business analyst,TRUE,4,3.4,4298,5,17,23
FALSE,2212,MSc or MBA,Designer,TRUE,3,1.5,4618,2,12,44
FALSE,2044,BSc,Junior designer,TRUE,3,2.2,3955,3,10,4
FALSE,2184,BSc,Developer,TRUE,4,2.7,6000,6,21,9
FALSE,2097,MSc or MBA,Associate,FALSE,4,3.4,5407,7,33,29
FALSE,1934,BSc,Junior designer,FALSE,3,4.2,3970,5,21,12
FALSE,2030,BSc,Junior designer,TRUE,4,3.4,4223,0,27,8
TRUE,2055,BSc,Associate,FALSE,4,2.7,5468,15,15,31
FALSE,1945,BSc,Consultant,TRUE,5,4.2,8158,1,33,21
FALSE,2501,BSc,Junior designer,TRUE,3,4,3979,5,25,19
FALSE,1737,MSc or MBA,Consultant,TRUE,3,1.3,7468,7,31,15
FALSE,2083,MSc or MBA,Business analyst,FALSE,4,3.1,4142,6,38,12
FALSE,2053,BSc,Junior developer,TRUE,3,3.5,4027,3,38,34
FALSE,1568,BSc,Junior designer,TRUE,2,3.1,3793,6,34,25
FALSE,1850,BSc,Associate,FALSE,4,2.5,5460,4,15,10
FALSE,1685,BSc,Junior designer,TRUE,4,2.8,4206,2,8,24
TRUE,1665,MSc or MBA,Junior designer,TRUE,2,1,3948,6,13,2
FALSE,2380,DSc or PhD,Principal consultant,TRUE,1,2.6,9000,6,13,10
FALSE,1659,BSc,Junior developer,TRUE,2,3.4,3861,7,16,23
FALSE,2156,BSc,Junior developer,FALSE,4,2.4,4252,1,16,10
FALSE,2418,BSc,Developer,TRUE,3,3.4,5652,4,22,31
FALSE,1987,BSc,Senior developer,TRUE,2,3.5,6665,11,14,5
FALSE,2025,BSc,Developer,TRUE,5,3.2,6310,6,27,21
FALSE,1384,MSc or MBA,Junior designer,TRUE,4,2.4,4147,1,37,15
TRUE,2163,BSc,Junior developer,TRUE,4,3,4196,1,21,10
FALSE,1764,MSc or MBA,Designer,TRUE,3,3.1,4566,7,15,20
